Produto;Unidade;UF;Ano;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
SEMENTE DE MILHO, HÍBRIDO SIMPLES, OGM BT, TRATADA;KG;RS;2024;0,00 ;0,00 ;30,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;24,80 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, VT PRO;60000,0 ;MG;2024;1.400,00 ;0,00 ;1.400,00 ;0,00 ;1.480,00 ;0,00 ;1.450,00 ;0,00 ;1.350,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, VT PRO 2;60000,0 ;MS;2024;850,00 ;850,00 ;830,00 ;0,00 ;830,00 ;0,00 ;830,00 ;0,00 ;830,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, VT PRO 2;KG;MT;2024;35,10 ;35,10 ;35,10 ;0,00 ;35,10 ;0,00 ;35,10 ;0,00 ;35,10 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, VT PRO 2;60000,0 ;MT;2024;640,00 ;640,00 ;640,00 ;0,00 ;640,00 ;0,00 ;688,00 ;0,00 ;688,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, ;KG;GO;2024;14,00 ;12,00 ;12,00 ;0,00 ;12,00 ;0,00 ;12,00 ;0,00 ;12,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, CERTIFICADA, CICLO PRECOCE - OGM;KG;GO;2024;13,00 ;13,00 ;13,00 ;0,00 ;13,00 ;0,00 ;13,00 ;0,00 ;12,50 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, CERTIFICADA, CICLO PRECOCE - OGM;KG;MG;2024;13,00 ;0,00 ;13,00 ;0,00 ;14,00 ;0,00 ;14,00 ;0,00 ;13,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, CERTIFICADA, CICLO TARDIO - OGM;KG;MG;2024;13,00 ;0,00 ;13,00 ;0,00 ;13,00 ;0,00 ;13,00 ;0,00 ;12,50 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, CERTIFICADA, RR;KG;RS;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;12,32 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, CERTIFICADA, RR;KG;MT;2024;5,89 ;5,89 ;5,89 ;0,00 ;5,89 ;0,00 ;5,89 ;0,00 ;5,89 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, PRECOCE, OGM;KG;PR;2024;0,00 ;0,00 ;12,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;11,50 ;0,00 ;0,00 ;0,00 
SEMENTE DE SOJA, RR (SEM ;KG;PR;2024;0,00 ;0,00 ;9,50 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE SORGO, CERTIFICADA, HÍBRIDO;KG;MG;2024;37,00 ;0,00 ;37,00 ;0,00 ;37,00 ;0,00 ;37,00 ;0,00 ;35,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE TRIGO, COODETEC - COOPERATIVA CENTRAL DE PESQUISA AGRÍCOLA, ARBUS 400, CERTIFICADA, ALTA TECNOLOGIA;KG;PR;2024;3,58 ;3,58 ;3,58 ;0,00 ;3,08 ;0,00 ;3,00 ;0,00 ;3,87 ;0,00 ;0,00 ;0,00 
SEMENTE DE TRITICALE;KG;PR;2024;0,00 ;0,00 ;4,80 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
